date,min,max,median,q1,q3,stdev,count
2024-12-10T00:00:00.000Z,1.78,3.83,2.96,2.57,3.07,0.537,10
2024-12-11T00:00:00.000Z,1.47,10.32,5.6,2.6,8.36,2.927,24
2024-12-12T00:00:00.000Z,2.14,31.24,14.36,10.09,18.55,7.71,24
2024-12-13T00:00:00.000Z,14.65,34.4,27.12,24.54,32.09,5.665,24
2024-12-14T00:00:00.000Z,2.31,32.6,12.45,5.75,26.29,10.366,24
2024-12-15T00:00:00.000Z,0.89,8.19,3.41,2.54,4.38,1.649,24
2024-12-16T00:00:00.000Z,0.39,4.88,1.21,0.49,3.06,1.498,24
2024-12-17T00:00:00.000Z,5.01,19.62,9.36,7.44,14.16,4.176,24
2024-12-18T00:00:00.000Z,1.25,12.78,2.73,1.72,4.03,2.845,24
2024-12-19T00:00:00.000Z,0.39,6.55,1.47,0.87,3.27,1.743,18
2024-12-20T00:00:00.000Z,2.12,7.64,3.46,2.95,4.69,1.575,20
2024-12-21T00:00:00.000Z,0.9,9.17,3.72,2.8,6.71,2.269,24
2024-12-22T00:00:00.000Z,0.72,6.39,1.48,1.25,3.45,1.748,24
2024-12-23T00:00:00.000Z,2.64,15.9,4.01,3.26,10.01,4.017,24
2024-12-24T00:00:00.000Z,13.38,23.53,18.95,16.64,20.87,2.461,24
2024-12-25T00:00:00.000Z,2.19,23.23,10.67,6.85,18.3,6.6,24
2024-12-26T00:00:00.000Z,7.01,28.18,19.91,12.23,23.36,6.457,24
2024-12-27T00:00:00.000Z,11.82,25.7,20.14,18,23.35,3.603,24
2024-12-28T00:00:00.000Z,13.3,24.05,18.79,17.67,21.48,3.035,24
2024-12-29T00:00:00.000Z,4.26,18.22,10.81,8.25,15.38,4.033,19
2024-12-30T00:00:00.000Z,1.66,8.1,3.08,2.6,3.87,1.432,15
2024-12-31T00:00:00.000Z,1.27,6.85,2.98,2.19,3.77,1.398,18
2025-01-01T00:00:00.000Z,0.39,6.39,1.67,1.25,2.63,1.453,17
2025-01-02T00:00:00.000Z,1.83,15,5.24,2.73,9,3.684,21
2025-01-03T00:00:00.000Z,3.21,29.5,10.26,7.51,15.71,7.738,24
2025-01-04T00:00:00.000Z,8.06,26.1,14.95,10.88,19.14,5.169,24
2025-01-05T00:00:00.000Z,0.87,22.6,2.27,1.19,9.4,5.985,24
2025-01-06T00:00:00.000Z,0.45,5.45,1.9,1.11,3.53,1.471,24
2025-01-07T00:00:00.000Z,1.12,10.28,3.34,2.62,6.61,2.603,24
2025-01-08T00:00:00.000Z,4.46,29.52,11.56,8.4,17.02,7.247,24
2025-01-09T00:00:00.000Z,9.27,27.02,18.73,13.12,21.16,4.885,24
2025-01-10T00:00:00.000Z,19.85,64.92,29.99,23.26,38.13,12.897,24
2025-01-11T00:00:00.000Z,37.96,80.11,55.58,52.52,69.7,12.539,24
2025-01-12T00:00:00.000Z,13.51,81.44,37.74,20.11,53.05,21.754,24
2025-01-13T00:00:00.000Z,5.27,25.5,12.32,8.66,17.72,5.649,22
2025-01-14T00:00:00.000Z,13.69,31.38,20.35,16.38,24.29,5.029,18
2025-01-15T00:00:00.000Z,10.01,33.15,24.64,20.51,27.08,5.482,24
2025-01-16T00:00:00.000Z,11.47,29.33,22.91,18.97,25.22,4.701,24
2025-01-17T00:00:00.000Z,21.11,38.04,30.39,27.59,34.83,4.878,24
2025-01-18T00:00:00.000Z,28.29,40.1,38.15,36.82,39.09,2.821,24
2025-01-19T00:00:00.000Z,26.84,37.18,30.3,28.03,34.97,3.505,24
2025-01-20T00:00:00.000Z,24.31,35.45,28.1,26.01,32.27,3.671,24
2025-01-21T00:00:00.000Z,29.56,37.44,35.04,31.98,36.74,2.51,24
2025-01-22T00:00:00.000Z,30.12,37.88,34.77,32.59,36.59,2.197,24
2025-01-23T00:00:00.000Z,1.27,38.18,9.67,2.92,32.84,14.466,20
2025-01-24T00:00:00.000Z,1.1,11.38,3.89,3.04,7.32,3.031,18
2025-01-25T00:00:00.000Z,0.89,31.83,3.09,1.94,15.2,11.241,20
2025-01-26T00:00:00.000Z,1.31,22.91,3.38,1.81,5.36,4.769,24
2025-01-27T00:00:00.000Z,0.39,3.33,1.95,1.56,2.42,0.73,24
2025-01-28T00:00:00.000Z,1.24,8.14,2.7,1.67,3.48,1.736,24
2025-01-29T00:00:00.000Z,1.35,14.15,5.76,3.24,8.51,3.566,24
2025-01-30T00:00:00.000Z,1.61,14.58,4.44,2.38,9.89,4.299,20
2025-01-31T00:00:00.000Z,1.87,22.1,6.3,3.9,14,5.987,24
2025-02-01T00:00:00.000Z,6.38,33.4,13.6,10.4,17.02,7.755,24
2025-02-02T00:00:00.000Z,12.06,37.03,28.88,18.84,32.27,7.883,24
2025-02-03T00:00:00.000Z,13.53,40.92,24.02,17.98,38.18,9.691,24
2025-02-04T00:00:00.000Z,2.61,18.42,4.97,3.49,12.09,5.257,24
2025-02-05T00:00:00.000Z,2.25,9.44,5.01,3.39,6.45,1.816,24
2025-02-06T00:00:00.000Z,2.11,28.93,5.74,3.07,17.5,9.001,24
2025-02-07T00:00:00.000Z,1.97,34.7,14.52,6.34,27.06,11.604,24
2025-02-08T00:00:00.000Z,18.92,37.4,34.94,27.15,35.76,6.08,24
2025-02-09T00:00:00.000Z,9.59,52.9,27.77,17.28,35.2,11.568,24
2025-02-10T00:00:00.000Z,39.45,51.25,43.58,41.39,45.66,3.206,24
2025-02-11T00:00:00.000Z,31.64,50.79,35.49,33.78,40.19,5.255,24
2025-02-12T00:00:00.000Z,23.23,45.93,32.61,26.01,35.19,5.273,24
2025-02-13T00:00:00.000Z,14.32,38.31,32.64,24.68,36.88,8.316,24
2025-02-14T00:00:00.000Z,13.25,36.58,25.05,20.85,30.9,7.063,24
2025-02-15T00:00:00.000Z,24.23,35.14,32,29.05,32.72,2.874,24
2025-02-16T00:00:00.000Z,19.44,39.19,31,23.79,35.81,6.447,24
2025-02-17T00:00:00.000Z,16.3,33.74,27.17,20.76,29.87,4.955,24
2025-02-18T00:00:00.000Z,26.06,42.73,34.89,30.94,37.5,4.527,24
2025-02-19T00:00:00.000Z,32.42,43.66,35.36,33.74,36.57,3.098,24
2025-02-20T00:00:00.000Z,1.17,44.1,3.57,2.36,6.54,11.891,24
2025-02-21T00:00:00.000Z,3.02,23.53,10.81,6.53,16.87,6.483,24
2025-02-22T00:00:00.000Z,2.02,15.03,8.94,4.57,10.85,3.81,24
2025-02-23T00:00:00.000Z,2.18,12.47,3.25,2.52,3.97,2.875,24
2025-02-24T00:00:00.000Z,0.61,6.02,1.85,1.2,3.43,1.806,24
2025-02-25T00:00:00.000Z,1.29,6.55,2.73,1.74,3.97,1.394,24
2025-02-26T00:00:00.000Z,0.78,3.99,2.5,2.29,3.34,0.787,24
2025-02-27T00:00:00.000Z,1.58,12.49,2.96,2.5,8.03,3.129,17
2025-02-28T00:00:00.000Z,5.63,24.23,17.39,16.37,19.71,5.617,6
2025-03-01T00:00:00.000Z,2.1,30.94,9.08,5.27,24.7,9.991,19
2025-03-02T00:00:00.000Z,9.5,38.57,25.35,12.92,30.44,9.587,24
2025-03-03T00:00:00.000Z,12.66,42.57,29.33,21.51,40.42,10.435,24
2025-03-04T00:00:00.000Z,7.58,38.85,33.02,15.35,35.19,10.738,24
2025-03-05T00:00:00.000Z,24.63,44.78,33.86,28.62,41.94,6.8,24
2025-03-06T00:00:00.000Z,30.21,32.88,31.2,30.35,32.13,0.933,5
2025-03-07T00:00:00.000Z,8.44,15.75,11.89,9.5,13.63,2.392,19
2025-03-08T00:00:00.000Z,8.94,40.33,19.39,13.63,27.75,8.442,24
2025-03-09T00:00:00.000Z,19.23,61.36,35.7,26.68,39.92,9.674,24
2025-03-10T00:00:00.000Z,40.99,68.06,56.86,48.97,66.62,9.108,24
2025-03-11T00:00:00.000Z,1.85,38.93,4.21,3.42,6.47,10.77,24
2025-03-12T00:00:00.000Z,2.19,9.59,5.89,4.34,8.08,2.242,24
2025-03-13T00:00:00.000Z,2.16,9.28,6.43,4.59,8.49,2.088,24
2025-03-14T00:00:00.000Z,2.9,28.51,6.47,4.25,22.36,9.595,24
2025-03-15T00:00:00.000Z,1.8,12.89,6.7,4.41,8.52,2.769,24
2025-03-16T00:00:00.000Z,1.05,10.9,3.49,2,7.47,3.215,24
2025-03-17T00:00:00.000Z,2.25,16.57,5.51,3.65,8.64,4.713,24
2025-03-18T00:00:00.000Z,6.2,26.5,13.15,8.27,16.42,5.235,24
2025-03-19T00:00:00.000Z,5.5,37.47,26.09,11.27,32.63,11.142,24
2025-03-20T00:00:00.000Z,3.65,29.6,17.32,7.73,22.9,8.029,24
2025-03-21T00:00:00.000Z,6.5,37.31,17.54,9.19,33.08,11.537,24
2025-03-22T00:00:00.000Z,4.17,24.58,8.68,5.85,15.15,5.986,24
2025-03-23T00:00:00.000Z,27.99,42.12,33.17,30.67,38.21,4.235,24
2025-03-24T00:00:00.000Z,28.36,47.36,34.71,31.59,36.65,4.578,24
2025-03-25T00:00:00.000Z,11.29,53.76,25.29,17.13,51.48,16.097,24
2025-03-26T00:00:00.000Z,3.09,26.98,17.92,10.9,25.16,8.167,24
2025-03-27T00:00:00.000Z,4.24,24.42,18.52,9.66,22.2,7.126,8
2025-03-28T00:00:00.000Z,0.73,6.69,2.42,1.65,3.96,1.83,20
2025-03-29T00:00:00.000Z,1.41,6.11,2.95,2.09,3.55,1.064,24
2025-03-30T00:00:00.000Z,1.95,4.93,3.54,2.59,4.15,0.892,24
2025-03-31T00:00:00.000Z,1.11,9.4,3.06,2.43,5.25,2.263,24
2025-04-01T00:00:00.000Z,1.13,18.64,10.62,6.69,12.81,4.593,24
